Metric,Individual_Mean,Individual_SD,Individual_95CI,Joint_Mean,Joint_SD,Joint_95CI,Mean_Difference,t_statistic,p_value,cohens_d,Effect_Size,Significance,Better_Condition,N_per_group
human Trajectory,14.12,1.23,"[13.66, 14.57]",13.23,0.90,"[12.90, 13.57]",0.88,3.189,0.002,0.823,Large,**,Joint,30
ai Trajectory,22.87,0.77,"[22.58, 23.15]",24.62,1.12,"[24.20, 25.04]",-1.75,-7.035,0.000,-1.816,Large,***,Individual,30
total Trajectory,36.98,1.52,"[36.42, 37.55]",37.85,1.83,"[37.17, 38.53]",-0.87,-1.997,0.050,-0.516,Medium,ns,Individual,30
